JD	lat	lon	Press	ws2.5	ws10	wd2.5	wd10	T2.5	T10	q2.5	q10	rhi2.5	rhi10	T_sfc	T_s_epp	T_s_brns	Tice	LWd	Lwu	SWd	Swu	RR_org	RR_ncr	twr_orien	ww	u*	hs	hl	usb_2.5	usb_10	hsb_2.5	hsb_10	hlb_2.5	hlb_10	zob2.5	zob10	zotb2.5	zotb10	zoqb2.5	zogb10
304.0417	75.71463	-144.28286	987.9	3.27	4.19	277	278	9999	-25.81	9999	0.375	9999	101.9	9999	9999	9999	9999	9999	9999	9999	9999	0	0	5.5	0	0.06	-10	0.2	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999
304.0833	75.71384	-144.27241	988.4	2.91	3.25	284	285	9999	-23.51	9999	0.472	9999	101.7	-26.1	-26.1	-21.85	9999	215	211.3	9999	9999	0	0	5.5	0	0.06	-1.9	0	9999	0.0817	9999	-7.2	9999	-0.8	9999	0.00045	9999	0.000242	9999	0.00028
304.125	75.71275	-144.2618	988.7	3.2	3.6	278	278	9999	-20.79	9999	0.61	9999	100.8	-22.56	-22.56	-19.24	9999	227.3	223.6	9999	9999	0	0	5.5	0.004	0.1	-0.2	-0.2	9999	0.1104	9999	-8	9999	-1.2	9999	0.00045	9999	0.000182	9999	0.000214
304.1667	75.71165	-144.24992	989.1	3.19	3.31	265	266	9999	-19.06	9999	0.72	9999	100.4	-20.31	-20.31	-18	9999	234.5	231.7	9999	9999	0	0	5.8	0	0.09	-1	0	9999	0.1054	9999	-5.7	9999	-1.1	9999	0.00045	9999	0.000194	9999	0.000227
304.2083	75.71046	-144.2383	989.6	4.06	4.28	288	288	9999	-17.67	9999	0.819	9999	100	-18.69	-18.69	-17	9999	240.7	237.8	9999	9999	0	0	5.7	0.003	0.1	-1.8	0.1	9999	0.1534	9999	-7.5	9999	-1.6	9999	0.00045	9999	0.000128	9999	0.000153
304.25	75.70954	-144.2271	990	2.98	3.59	282	282	9999	-17.38	9999	0.839	9999	99.9	-18.18	-18.18	-16.76	9999	242.2	239.7	9999	9999	0	0	5.8	-0.001	0.1	0.1	0.3	9999	0.1266	9999	-5	9999	-1.1	9999	0.00045	9999	0.000161	9999	0.00019
304.2917	75.70906	-144.21668	990.7	2.73	2.89	255	256	9999	-17.25	9999	0.849	9999	99.9	-17.26	-17.26	-16.67	9999	243.3	243.1	9999	9999	0	0	5.7	0.001	0.09	0.7	0.2	9999	0.1129	9999	-0.6	9999	-0.3	9999	0.00045	9999	0.000183	9999	0.000215
304.3333	75.70907	-144.20554	991.4	2.41	2.92	231	231	9999	-17.16	9999	0.849	9999	99.9	-17.23	-17.23	-16.58	9999	244.4	243.2	9999	9999	0	0	5.8	0.001	0.11	0.7	0.3	9999	0.1127	9999	-0.9	9999	-0.2	9999	0.00045	9999	0.000183	9999	0.000216
304.375	75.70964	-144.19422	991.9	2.56	2.9	197	197	9999	-16.78	9999	0.879	9999	99.8	-17.68	-17.68	-16.23	9999	244.2	241.6	9999	9999	0	0	5.9	0.003	9999	9999	0.2	9999	0.0933	9999	-3.8	9999	-0.8	9999	0.00045	9999	0.000224	9999	0.00026
304.4167	75.71067	-144.18233	992.3	3.35	3.68	200	200	9999	-16.15	9999	0.939	9999	99.8	-16.94	-16.94	-15.79	9999	246.5	244.4	9999	9999	0	0	6	-0.001	0.1	1.9	0.2	9999	0.131	9999	-5.1	9999	-1.2	9999	0.00045	9999	0.000156	9999	0.000185
304.4583	75.71224	-144.17019	992.8	4.08	4.63	197	197	9999	-15.51	9999	0.989	9999	99.7	-16.43	-16.43	-15.34	9999	248.6	246.3	9999	9999	0	0	6	0	9999	9999	0.2	9999	0.1705	9999	-7.7	9999	-1.8	9999	0.00045	9999	0.000114	9999	0.000138
304.5	75.71442	-144.15766	993.3	5.35	6.07	201	201	9999	-14.7	9999	1.069	9999	99.6	-15.53	-15.53	-14.65	9999	251.8	249.8	9999	9999	0	0	6	-0.007	9999	-0.2	0.4	9999	0.2327	9999	-9.5	9999	-2.5	9999	0.00045	9999	0.000077	9999	0.000095
304.5417	75.71724	-144.14407	993.9	5.93	6.73	201	201	9999	-14.31	9999	1.099	9999	99.5	-15.1	-15.1	-14.29	9999	254.3	251.4	9999	9999	0	0	6	-0.001	9999	-1.8	0.2	9999	0.2604	9999	-10.1	9999	-2.5	9999	0.00045	9999	0.000066	9999	0.000082
304.5833	75.72006	-144.13028	994.4	5.97	6.78	194	194	9999	-14.86	9999	1.049	9999	99.6	-15.06	-15.06	-14.91	9999	254	251.6	9999	9999	0	0	6	0.008	9999	9999	0	9999	0.2679	9999	-3.6	9999	-1	9999	0.00045	9999	0.000063	9999	0.000079
304.625	75.72285	-144.11515	995.1	4.3	4.88	186	186	9999	-16.34	9999	0.919	9999	99.9	-16.68	-16.68	-18.04	9999	246.9	245.3	9999	9999	0	0	6.2	0.005	9999	9999	-0.8	9999	0.1891	9999	-3.8	9999	-1	9999	0.00045	9999	0.0001	9999	0.000121
304.6667	75.72515	-144.10036	995.7	6.05	6.87	201	201	9999	-15.95	9999	0.95	9999	99.8	-17.1	-17.1	-16.67	9999	246.8	243.7	9999	9999	0	0	6	-0.002	9999	-9.8	-0.2	9999	0.263	9999	-14.3	9999	-3.2	9999	0.00045	9999	0.000064	9999	0.00008
304.7083	75.72702	-144.08541	996.3	5.45	5.97	208	209	9999	-16.47	9999	0.902	9999	100.1	-16.79	-16.79	-17.87	9999	246.9	244.9	9999	9999	0	0	5.5	0.003	0.175	-6.4	-0.1	9999	0.2342	9999	-4.4	9999	-1	9999	0.00045	9999	0.000075	9999	0.000092
304.75	75.72817	-144.071	997.3	4.4	5.38	215	217	9999	-17.73	9999	0.803	9999	100.2	-17.72	-17.72	-20.05	9999	242.1	241.4	9999	9999	1.6	0	5.5	0.002	0.13	-15.2	0.1	9999	0.214	9999	-0.8	9999	-0.2	9999	0.00045	9999	0.000084	9999	0.000103
304.7917	75.72912	-144.05764	998.5	4.42	5.17	228	228	9999	-17.91	9999	0.795	9999	100.7	-17.29	-17.29	-19.67	9999	244.4	243	9999	9999	0	0	5.9	0.003	0.135	-12	0	9999	0.2112	9999	5.3	9999	0.8	9999	0.00045	9999	0.000085	9999	0.000104
304.8333	75.72962	-144.04629	999.8	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	999	999	6	-0.091	9999	9999	999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999
304.875	75.72999	-144.03942	1000.9	3.23	3.7	202	205	9999	-22.35	9999	0.522	9999	100.8	-24.48	-24.48	-24.3	9999	174.6	216.4	7.5	7.2	0.1	0.3	6	-0.002	0.04	-2.8	0.2	9999	0.1092	9999	-9.3	9999	-1.2	9999	0.00045	9999	0.000181	9999	0.000214
304.9167	75.73069	-144.0317	1002.1	3.15	4.13	234	234	9999	-23.4	9999	0.466	9999	101.2	-25.18	-25.18	-25.03	9999	174.3	214	6.4	5.8	0	0	6	0	0.09	-10	0.3	9999	0.1348	9999	-10.6	9999	-1.2	9999	0.00045	9999	0.000142	9999	0.00017
304.9583	75.73142	-144.02386	1002.9	2.59	2.94	238	238	9999	9999	9999	9999	9999	9999	-25.41	-25.41	-25.43	9999	171.5	213.2	2.6	2.9	0	0	6	0	0.07	-4	0.1	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999
305	75.73225	-144.01636	1004.1	1.92	2.17	240	242	9999	-25.34	9999	0.391	9999	101.8	-24.45	-24.45	-25.77	9999	183.4	216.6	1.4	0.9	0	0	5.9	0.003	0.03	-1.2	0	9999	0.0955	9999	4.6	9999	0.3	9999	0.00045	9999	0.000207	9999	0.000241
305.0417	75.73292	-144.00833	1004.9	0.57	0.65	146	146	9999	-25.41	9999	0.38	9999	101.1	-25.66	-25.66	-26.83	9999	175.5	212.4	0	0	0	0	5.9	0.006	9999	-7	999	9999	0.0109	9999	-0.1	9999	0	9999	0.00045	9999	0.000763	9999	0.000985
305.0833	75.73357	-144.00079	1005.4	1.94	2.37	157	156	9999	-25.77	9999	0.376	9999	101.6	-25.52	-25.52	-26.53	9999	178.1	212.8	0	0	0	0	6.2	0.006	9999	9999	999	9999	0.0974	9999	0.8	9999	-0.1	9999	0.00045	9999	0.000201	9999	0.000236
305.125	75.73428	-143.99145	1006.8	2.21	2.51	228	228	9999	-22.06	9999	0.537	9999	101.4	-22.35	-22.35	-22.63	9999	202.6	224.1	0	0	0.1	0	6.5	-0.001	0.015	2	999	9999	0.0898	9999	-1.6	9999	-0.3	9999	0.00045	9999	0.000224	9999	0.000261
305.1667	75.73495	-143.98168	1007.5	1.69	1.92	181	181	9999	-20.55	9999	0.613	9999	100.6	-20.67	-20.67	-20.9	9999	213	230.2	0	0	0.2	0	6.9	0.003	9999	-5.8	999	9999	0.0687	9999	-0.7	9999	-0.1	9999	0.00045	9999	0.000294	9999	0.000337
305.2083	75.73607	-143.97192	1008.1	3.17	3.65	165	170	9999	-19.88	9999	0.651	9999	100.5	-19.55	-19.55	-19.75	9999	221.1	234.4	0	0	0	0	6.9	0.002	9999	9999	999	9999	0.1487	9999	1.7	9999	0.3	9999	0.00045	9999	0.000131	9999	0.000156
305.25	75.73798	-143.9626	1008.9	3.05	3.39	162	167	9999	-19.4	9999	0.681	9999	100.3	-19.22	-19.22	-19.35	9999	219.2	235.6	0	0	0	0	7	0	9999	9999	-0.3	9999	0.1368	9999	0.6	9999	0.1	9999	0.00045	9999	0.000145	9999	0.000172
305.2917	75.73962	-143.95508	1009.7	2.89	3.28	171	171	9999	-19.58	9999	0.67	9999	100.3	-19	-19	-19.17	9999	227.4	236.5	0	0	0	0	7.2	-0.001	9999	1.8	-0.3	9999	0.1364	9999	3.5	9999	0.6	9999	0.00045	9999	0.000145	9999	0.000173
305.3333	75.74168	-143.94917	1010.7	3.76	4.27	173	173	9999	-19.58	9999	0.67	9999	100.3	-18.76	-18.76	-18.81	9999	231.5	237.4	0	0	0	0	7.2	0.0025	9999	4.8	-0.3	9999	0.177	9999	6.6	9999	1.2	9999	0.00045	9999	0.000105	9999	0.000128
305.375	75.74362	-143.94404	1011.8	2.81	3.19	173	173	9999	-18.93	9999	0.71	9999	100.2	-18.25	-18.25	-18.39	9999	230.3	239.3	0	0	0	0	7.4	-0.003	9999	4.2	-0.5	9999	0.1337	9999	4.2	9999	0.8	9999	0.00045	9999	0.000149	9999	0.000178
305.4167	75.74575	-143.93998	1012.7	2.71	3.15	166	171	9999	-20.46	9999	0.609	9999	99.9	-20.4	-20.4	-20.77	9999	199.6	231.1	0	0	0	0	7.5	0.001	9999	3	-0.5	9999	0.1256	9999	-0.2	9999	0.1	9999	0.00045	9999	0.000158	9999	0.000188
305.4583	75.74802	-143.93677	1013.4	3.09	3.33	165	169	9999	-22.63	9999	0.5	9999	100.5	-23.08	-23.08	-23.51	9999	175.9	221.3	0	0	0	0	7.2	-0.004	9999	-1.6	-0.5	9999	0.1217	9999	-3.1	9999	-0.4	9999	0.00045	9999	0.000161	9999	0.000191
305.5	75.75052	-143.934	1013.8	2.09	3.07	158	160	9999	-23.72	9999	0.45	9999	100.8	-24.17	-24.17	-24.58	9999	171	217.4	0	0	0	0	7.2	0.0005	9999	-2.3	-0.3	9999	0.1103	9999	-2.8	9999	-0.3	9999	0.00045	9999	0.000178	9999	0.00021
